,quantifier,dataset,abs_error,run_time
1771,(REG)Top-7+W,magic,0.053529515910954395,1.0493999780002015
1772,(REG)Top-7+W,mozilla,0.03763497962897562,0.8912641970000732
1773,(REG)Top-7+W,namao,0.015848483280329517,1.646634260500341
1774,(REG)Top-7+W,occupancy,0.007030269772240602,1.0781892460000018
1775,(REG)Top-7+W,page-blocks,0.026457662558666578,0.28250401899987987
1776,(REG)Top-7+W,parity5_plus_5,0.2702496578384834,0.29181069750002275
1777,(REG)Top-7+W,pendigits,0.01426347906530219,0.2105487115002324
1778,(REG)Top-7+W,phoneme,0.056698082799245354,0.4829176264995658
1779,(REG)Top-7+W,php50jXam,0.0075390265083091716,0.29684449850006783
1780,(REG)Top-7+W,phpGUrE90,0.041463178645587025,0.3095579404996533
1781,(REG)Top-7+W,phpMD2hR6,0.03793920312723644,4.119670147500292
1782,(REG)Top-7+W,phpV5QYya,0.020931617813365208,0.674637259999945
1783,(REG)Top-7+W,phpWfYmlu,0.049929053349021715,0.5604684289997567
1784,(REG)Top-7+W,phphQEck0,0.02003030180296823,12.567716396499945
1785,(REG)Top-7+W,phplE7q6h,0.14052468890807798,0.891825353999866
1786,(REG)Top-7+W,phpmPOD5A,0.3034362780479667,1.3637230914998872
1787,(REG)Top-7+W,phpwRjVjk,0.08648075142710397,0.4744214224997086
1788,(REG)Top-7+W,phpxijhaP,0.010452736138133155,0.5068769304999295
1789,(REG)Top-7+W,pol,0.02866060688632195,0.8577640115002214
1790,(REG)Top-7+W,pollen,0.36208894889139837,0.38568889899994246
1791,(REG)Top-7+W,puma32H,0.11471995811096942,0.5884902604999661
1792,(REG)Top-7+W,puma8NH,0.0404469149249556,0.5864909890001035
1793,(REG)Top-7+W,quake,0.2951889223950618,0.3475556450000113
1794,(REG)Top-7+W,space_ga,0.05880717413312252,0.05175463249986929
1795,(REG)Top-7+W,spambase,0.021916754976500478,0.43749013200093034
1796,(REG)Top-7+W,sylva_prior,0.005277772135085421,0.8343527520002499
1797,(REG)Top-7+W,visualizing_soil,0.004779278545194302,0.5993684819997906
1798,(REG)Top-7+W,wind,0.02857868172863166,0.5241763519999586
1799,(REG)Top-7+W,winetype,0.0057625518560871026,0.5194483380000929
1800,(REG)Top-8,1043_ada_agnostic,0.03888313979047409,0.43540317499994674
1801,(REG)Top-8,1460_banana,0.11130453400910428,0.47149720350005736
1802,(REG)Top-8,1462_banknote-authentication,0.005701343542685745,0.29348920849985005
1803,(REG)Top-8,1466_cardiotocography,0.0,0.14564781850006508
1804,(REG)Top-8,1475_first-order-theorem-proving,0.06776654589300463,0.5023782569999367
1805,(REG)Top-8,1479_hill-valley,0.057680173150983255,0.31388239199998674
1806,(REG)Top-8,1485_madelon,0.30002780617593744,0.3624126254999919
1807,(REG)Top-8,1489_phoneme,0.06243954063613323,0.47243430549963705
1808,(REG)Top-8,1494_qsar-biodeg,0.04649387724429619,0.3012147529999765
1809,(REG)Top-8,1496_ringnorm,0.051048214610771234,0.525810456500003
1810,(REG)Top-8,1497_wall-robot-navigation,0.057432539750052886,0.4775976639998316
1811,(REG)Top-8,1504_steel-plates-fault,0.0,0.33417762649993166
1812,(REG)Top-8,1507_twonorm,0.009608622370775739,0.524241273499938
1813,(REG)Top-8,1526_wall-robot-navigation,0.06700856287398808,0.4747912650002127
1814,(REG)Top-8,1535_volcanoes-b5,0.04550205970277438,0.651588973500011
1815,(REG)Top-8,1538_volcanoes-d1,0.051855298469597126,0.6030061440000282
1816,(REG)Top-8,1539_volcanoes-d2,0.09045929154876188,0.617588770499824
1817,(REG)Top-8,1540_volcanoes-d3,0.05051382471875548,0.6209593490000952
1818,(REG)Top-8,1541_volcanoes-d4,0.09094042825610299,0.6144232180000109
1819,(REG)Top-8,1566_hill-valley,0.0616754667181355,0.31009361650034406
1820,(REG)Top-8,182_satimage,0.009671710940643029,0.5543442084994603
1821,(REG)Top-8,23_cmc,0.10478724632516812,0.3366279294997003
1822,(REG)Top-8,28_optdigits,0.017746982570161877,0.5060772940001516
1823,(REG)Top-8,294_satellite_image,0.009385331931805718,0.5339908744998502
1824,(REG)Top-8,2dplanes,0.03517599335880682,2.016333058500113
1825,(REG)Top-8,30_page-blocks,0.026319467988636755,0.2983496964999722
1826,(REG)Top-8,312_scene,0.01936827888198421,0.37478383049940023
1827,(REG)Top-8,375_JapaneseVowels,0.015872980081816927,0.6925330795001536
1828,(REG)Top-8,40474_thyroid-allbp,0.049962290331679704,0.3940790205000303
1829,(REG)Top-8,40475_thyroid-allhyper,0.049962290331679704,0.39118084200024894
1830,(REG)Top-8,40733_yeast,0.081411635219035,0.32898675249978626
1831,(REG)Top-8,44_spambase,0.022004581037162116,0.460413722999765
1832,(REG)Top-8,4538_GesturePhaseSegmentationProcessed,0.09916057388699417,0.6931148115001633
1833,(REG)Top-8,60_waveform-5000,0.03097131671891511,0.4765865504999601
1834,(REG)Top-8,679_rmftsa_sleepdata,0.09943942369947377,0.32446582949998626
1835,(REG)Top-8,AedesQuinx,0.03808556565330087,1.2963492135002161
1836,(REG)Top-8,AedesSex,0.010318946735232785,1.2818337385000813
1837,(REG)Top-8,ArabicDigit,0.007811536257450844,0.6251540779999778
1838,(REG)Top-8,BNG,0.010040201987685593,1.9276356324999142
1839,(REG)Top-8,BNG_breast-w,0.010040201987685593,1.931730171000181
1840,(REG)Top-8,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.3260430252657826,0.3411555770002633
1841,(REG)Top-8,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.3757499723573542,0.3452191024995227
1842,(REG)Top-8,HTRU,0.017138123558643886,0.9761171039999499
1843,(REG)Top-8,MagicTelescope,0.05310580752784477,1.0319789450002463
1844,(REG)Top-8,abalone,0.0410939422634976,0.4440504509996026
1845,(REG)Top-8,ailerons,0.027585179070892862,0.860356435000267
1846,(REG)Top-8,anuranCalls,0.02350139929560148,0.5068769674999203
1847,(REG)Top-8,balloon,0.04406476764818905,0.28530772049947695
1848,(REG)Top-8,bank8FM,0.017117244233965042,0.6154782155001339
1849,(REG)Top-8,churn,0.056014497890651826,0.4687734469998031
1850,(REG)Top-8,clean2,9.972159220431475e-06,0.5580442450002374
1851,(REG)Top-8,click-prediction,0.13787615949097717,2.0456215800000246
1852,(REG)Top-8,cmc,0.09480929988534102,0.33784912400014944
1853,(REG)Top-8,covtype_reduced,0.05524146657254759,0.6166797359998781
1854,(REG)Top-8,cpu_act,0.01916778737539168,0.5909217805004482
